"Year","State","District","Village","pH","EC","P","K","Ca","Mg","S","Zn","B","Fe","Cu","Mn","C","Lon","Lat","soil_type"
2016,"Andhra Pradesh","YSR Kadapa","Gundl re",8.77,0.444,5.881,100.45,1771.85,401,46.735,0.38,1.14,30.3,1.26,4.76,0.421,79.1169694447,14.2333333335,""
2016,"Andhra Pradesh","YSR Kadapa","Gundl re",8.55,0.356,23.576,176.5,1771.5,465,16.149,0.42,1.82,22.52,1.5,4.5,0.62,79.101038889,14.2333333335,""
2016,"Andhra Pradesh","YSR Kadapa","Gundl re",8.35,0.61,17.443,183.8,1556.4,386.7,21.774,0.5,1.78,18.5,1.22,7.38,0.419,79.1010583333,14.2333333335,""
2016,"Andhra Pradesh","YSR Kadapa","Mannur",7.73,0.197,22.807,608.05,1795.35,739.35,5.723,0.84,2.1,5.74,1.84,22.1,0.519,79.118058333,14.1833333336,""
2016,"Andhra Pradesh","YSR Kadapa","Mannur",8.12,0.144,1.858,282.1,2764.05,471.45,3.637,0.16,0.58,6.18,1.52,10.4,0.491,79.1181222227,14.1833333336,""
2016,"Andhra Pradesh","YSR Kadapa","Hasthavaram",7.94,0.12,31.171,436.55,2546.5,735.3,61.123,0.36,0.98,9.56,1.86,14.1,0.463,79.1006277775,14.2166666665,""
2016,"Andhra Pradesh","YSR Kadapa","Hasthavaram",0,0,21.922,350.6,2435.8,820.85,29.717,1.36,1.56,9.52,1.76,13.6,0.615,79.100325,14.2166666665,""
2016,"Andhra Pradesh","YSR Kadapa","Hasthavaram",7.99,0.779,36.1,511.8,2462.15,768.55,65.721,0.4,1.16,9.16,1.84,14.9,0.554,79.1011555554,14.1999999996,""
2016,"Andhra Pradesh","YSR Kadapa","Varadaiah Garipalli",7.56,0.317,11.033,368.55,1464.6,352.8,31.405,12.14,1.44,3.4,1.26,26.92,0.378,79.1184555555,14.1499999997,""
2016,"Andhra Pradesh","YSR Kadapa","Bramhanapalli",7.96,0.385,37.008,517.05,2170.5,610.2,16.055,1.08,1.8,6.62,1.8,29.68,0.848,79.1183194449,14.1499999997,""
2016,"Andhra Pradesh","YSR Kadapa","Mandaram (Kitchamambapuram",8.56,0.345,8.777,164.3,1976.25,472.2,23.028,0.54,1.56,18.54,1.54,5,0.641,79.1679666668,14.2333333335,""
2016,"Andhra Pradesh","YSR Kadapa","Mandaram (Kitchamambapuram",8.23,0.19,11.601,154.3,1267.8,355.1,6.059,0.62,1.06,13.8,1.56,10.82,0.502,79.1677333332,14.2333333335,""
2016,"Andhra Pradesh","YSR Kadapa","Mandaram (Kitchamambapuram",8.49,0.348,10.34,107.1,1826.35,481.8,19.186,0.52,2,29.6,1.98,4.62,0.782,79.1675944446,14.2333333335,""
2016,"Andhra Pradesh","YSR Kadapa","Mandaram (Kitchamambapuram",8.52,0.415,13.323,117.35,1964.1,506.8,17.709,0.4,2.1,24.76,1.82,5.5,0.676,79.1677277781,14.2333333335,""
2016,"Andhra Pradesh","YSR Kadapa","Utukuru",9.59,0.524,4.411,135.55,1532.3,158.35,39.903,0.52,0.58,10.22,0.68,8.62,0.307,79.1682361109,14.1666666666,""
2016,"Andhra Pradesh","YSR Kadapa","Utukuru",9.72,0.608,4.813,151.65,1661.3,164.85,51.501,0.6,0.68,9.3,0.72,8.68,0.267,79.1682249998,14.1666666666,""
2016,"Andhra Pradesh","YSR Kadapa","Utukuru",9.75,0.623,5.472,152.6,1611.8,158.25,50.284,0.62,0.56,10.8,0.76,9.88,0.358,79.1683249999,14.1666666666,""
